age,annual_income,employment_length_years,loan_amount,loan_term_months,credit_history_years,num_credit_lines,num_delinquencies_2y,revolving_utilization,debt_to_income,inquiries_6m,home_ownership,loan_purpose,default
43,50066.99,0.8,5077.03,24,6.0,2,1,0.35,0.585,1,RENT,credit_card,0
36,53212.0,2.3,8805.43,60,3.0,6,1,0.29,0.091,1,MORTGAGE,debt_consolidation,0
45,56126.43,10.9,9419.16,24,14.0,1,0,0.354,0.228,1,RENT,major_purchase,0
55,91196.68,9.0,5614.86,24,5.0,0,2,0.557,0.336,0,MORTGAGE,major_purchase,1
35,35919.32,5.9,10932.98,24,13.9,6,0,0.303,0.445,1,OWN,major_purchase,0
35,34013.38,4.6,10987.21,60,7.3,5,0,0.095,0.449,2,MORTGAGE,debt_consolidation,0
55,106952.58,2.1,19097.89,60,2.4,4,0,0.258,0.342,4,RENT,credit_card,1
46,42005.06,4.1,18735.21,12,8.2,8,0,0.209,0.41,1,OWN,car,0
33,27046.98,1.6,3293.98,60,5.6,2,0,0.418,0.26,0,RENT,debt_consolidation,1
44,41488.79,8.9,13001.52,24,6.2,5,0,0.464,0.04,1,MORTGAGE,major_purchase,0
33,45182.77,10.8,3354.0,36,1.3,4,0,0.465,0.218,1,RENT,medical,0
33,127418.15,9.2,15388.52,36,2.4,1,0,0.259,0.117,1,RENT,credit_card,0
41,90098.11,11.4,15200.64,36,1.1,8,1,0.671,0.463,0,MORTGAGE,credit_card,0
18,101837.77,6.6,5988.71,24,1.0,6,0,0.074,0.685,1,RENT,debt_consolidation,0
19,85049.23,11.1,13386.2,48,2.0,4,0,0.575,0.209,0,RENT,debt_consolidation,0
32,91165.7,0.4,5881.1,48,9.5,4,0,0.515,0.287,0,MORTGAGE,car,0
27,37106.77,5.5,10097.4,60,2.5,5,1,0.265,0.464,1,RENT,credit_card,0
41,48570.36,9.1,11471.24,36,13.6,5,1,0.704,0.501,4,RENT,credit_card,1
28,31430.89,3.7,9332.57,36,11.0,7,0,0.449,0.332,3,MORTGAGE,small_business,0
22,48253.88,5.2,17070.53,36,5.0,6,1,0.336,0.646,1,RENT,car,1
54,78925.35,5.3,6831.95,12,9.6,6,0,0.13,0.644,0,RENT,small_business,1
36,58338.69,6.1,14775.03,12,8.8,7,0,0.352,0.656,0,MORTGAGE,debt_consolidation,0
39,111448.12,2.9,5227.3,48,1.8,9,0,0.602,0.649,0,RENT,debt_consolidation,0
22,28918.05,5.3,3086.56,24,5.0,3,0,0.549,0.238,3,RENT,other,0
